ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Block,Status,Phase,BuildingId,BuildingName,ArchicadId,Storey,StoreyCalculated,Materials,HasRepresentation
nds-main-kk-adjustment-v09|1gXDpLwwX61BVe7vBnzrFf,nds-main-kk-adjustment-v09,1gXDpLwwX61BVe7vBnzrFf,3684,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.3,0. Story,1,,True
nds-main-kk-adjustment-v09|0J4ykMU4D9Lwq4sppvzxsX,nds-main-kk-adjustment-v09,0J4ykMU4D9Lwq4sppvzxsX,3683,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.1,0. Story,1,,True
nds-main-kk-adjustment-v09|1yai5i_bz4KwiAQoIw7jVh,nds-main-kk-adjustment-v09,1yai5i_bz4KwiAQoIw7jVh,3692,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.4,0. Story,1,,True
nds-main-kk-adjustment-v09|1c_3dlqtn4uO9_KzjSoCV_,nds-main-kk-adjustment-v09,1c_3dlqtn4uO9_KzjSoCV_,3695,IfcSpace,RETAIL,,,,Retail,RETAIL,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.10,0. Story,1,,True
nds-main-kk-adjustment-v09|1kFsrrwLr818w0R9h8e0gW,nds-main-kk-adjustment-v09,1kFsrrwLr818w0R9h8e0gW,3696,IfcSpace,RETAIL,,,,Retail,RETAIL,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.5,0. Story,1,,True
nds-main-kk-adjustment-v09|03hOZFPADD2Bgr6tsjWpF$,nds-main-kk-adjustment-v09,03hOZFPADD2Bgr6tsjWpF$,3702,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.5,0. Story,3,,True
nds-main-kk-adjustment-v09|083rs6Ng193B_bwPUIO7Jv,nds-main-kk-adjustment-v09,083rs6Ng193B_bwPUIO7Jv,3708,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.2,0. Story,1,,True
nds-main-kk-adjustment-v09|00uYAWMVzAleHM1P31Ns__,nds-main-kk-adjustment-v09,00uYAWMVzAleHM1P31Ns__,3711,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.3,0. Story,3,,True
nds-main-kk-adjustment-v09|0nYaOJRQz329tJJsjbs5xc,nds-main-kk-adjustment-v09,0nYaOJRQz329tJJsjbs5xc,3716,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.4,0. Story,2,,True
nds-main-kk-adjustment-v09|277u8EcZj8yuHoCX9xJPhV,nds-main-kk-adjustment-v09,277u8EcZj8yuHoCX9xJPhV,3719,IfcSpace,RETAIL,,,,Retail,RETAIL,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.3,0. Story,1,,True
nds-main-kk-adjustment-v09|2jJ3EEQ6L9$gZYZ38wipp3,nds-main-kk-adjustment-v09,2jJ3EEQ6L9$gZYZ38wipp3,3720,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.6,0. Story,1,,True
nds-main-kk-adjustment-v09|3KBSvR6VbBtwgvpamy0s5N,nds-main-kk-adjustment-v09,3KBSvR6VbBtwgvpamy0s5N,3723,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.7,0. Story,1,,True
nds-main-kk-adjustment-v09|1d_B1AcUv3Ju1hvK02Wv$e,nds-main-kk-adjustment-v09,1d_B1AcUv3Ju1hvK02Wv$e,3726,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,D,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,D.3.7,0. Story,1,,True
nds-main-kk-adjustment-v09|0Xk1SWY1L0HgsHKQrX8xh6,nds-main-kk-adjustment-v09,0Xk1SWY1L0HgsHKQrX8xh6,3705,IfcSpace,RETAIL,,,,Retail,RETAIL,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.8,0. Story,1,,True
nds-main-kk-adjustment-v09|3X1SeB3GX6yh5wn4DHLT92,nds-main-kk-adjustment-v09,3X1SeB3GX6yh5wn4DHLT92,3680,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.2,0. Story,1,,True
nds-main-kk-adjustment-v09|1$5AqWANr7fvMuGQXLszWv,nds-main-kk-adjustment-v09,1$5AqWANr7fvMuGQXLszWv,3732,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,H,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,H.1.10,0. Story,5,,True
nds-main-kk-adjustment-v09|3UWvtATTD1fw$D9jnzAfGD,nds-main-kk-adjustment-v09,3UWvtATTD1fw$D9jnzAfGD,3735,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.2,0. Story,3,,True
nds-main-kk-adjustment-v09|0fLKwiW_L96xIAGVDvGdfe,nds-main-kk-adjustment-v09,0fLKwiW_L96xIAGVDvGdfe,3729,IfcSpace,RETAIL,,,,Retail,RETAIL,D,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,D.3.6,0. Story,1,,True
nds-main-kk-adjustment-v09|1aZa6W3ArACvxk_7g$jhw_,nds-main-kk-adjustment-v09,1aZa6W3ArACvxk_7g$jhw_,3739,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.1,0. Story,1,,True
nds-main-kk-adjustment-v09|371sw3EEr5POf7MPqCVB$n,nds-main-kk-adjustment-v09,371sw3EEr5POf7MPqCVB$n,3740,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.11,0. Story,4,,True
