ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Materials,HasRepresentation
nds-main-v01|0F07o4LZr8NRZ7RpKyFcol,nds-main-v01,0F07o4LZr8NRZ7RpKyFcol,7552,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|08LHoKirD00Q7L6Zy1dVAM,nds-main-v01,08LHoKirD00Q7L6Zy1dVAM,7563,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1dZ7H5lEHEz9nKaxgo$$z6,nds-main-v01,1dZ7H5lEHEz9nKaxgo$$z6,7564,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3BfXcnynTFPf6H4_k6Aomf,nds-main-v01,3BfXcnynTFPf6H4_k6Aomf,7580,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|39edv35T14kgBp2kC5c8vR,nds-main-v01,39edv35T14kgBp2kC5c8vR,7590,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|30KtFn_4f7QAfclAX4q9hE,nds-main-v01,30KtFn_4f7QAfclAX4q9hE,7787,IfcBuildingElementProxy,J,,,NOTDEFINED,DŘEVO,INV,DŘEVO,True
nds-main-v01|3eOmHy6g9DcwBN8ZPKKLRO,nds-main-v01,3eOmHy6g9DcwBN8ZPKKLRO,7796,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,,DŘEVO,True
nds-main-v01|1LVDiAKdz3JPW4n2J3nrza,nds-main-v01,1LVDiAKdz3JPW4n2J3nrza,7813,IfcBuildingElementProxy,G,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0ZFvk_QiX9e9eujMoyAWoA,nds-main-v01,0ZFvk_QiX9e9eujMoyAWoA,7823,IfcBuildingElementProxy,G,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0S0oJR_6b4kepnQ$vrZWHH,nds-main-v01,0S0oJR_6b4kepnQ$vrZWHH,7832,IfcBuildingElementProxy,J,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
